observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	observableTransformation	observablesetId
observable_EGFRPtotal		C1	0	0			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	0.0173	15			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	0.029	30			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	0.0343	45			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	0.0369	60			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	0.0389	120			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C2	0	0			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	0.389	15			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	0.452	30			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	0.408	45			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	0.299	60			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	0.157	120			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C3	0	0			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	0.765	15			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	0.564	30			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	0.307	45			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	0.276	60			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	0.286	120			lin	C3_observable_EGFRPtotal
observable_PLCgPtotal		C2	0	0			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	0.061	15			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	0.0849	30			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	0.096	45			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	0.0851	60			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	0.0331	120			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C3	0	0			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	0.139	15			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	0.139	30			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	0.0612	45			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	0.0364	60			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	0.0345	120			lin	C3_observable_PLCgPtotal
observable_ShPtotal		C3	0	0			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	0.911	15			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	1.42	30			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	1.49	45			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	1.49	60			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	1.49	120			lin	C3_observable_ShPtotal
observable_Grb2Shctotal		C3	0	0			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	0.464	15			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	0.644	30			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	0.656	45			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	0.649	60			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	0.642	120			lin	C3_observable_Grb2Shctotal
observable_Grb2EGFRtotal		C3	0	0			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	0.0901	15			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	0.0528	30			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	0.0484	45			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	0.0565	60			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	0.0645	120			lin	C3_observable_Grb2EGFRtotal
